id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS,CDU_CSU_porc,SPD_porc,AfD_porc,FDP_porc,LINKE_porc,GRÜNE_porc,OTROS_porc,primero,primer.partido,segundo,segundo.partido
79,11,Berlin-Steglitz-Zehlendorf,178373,63085,43801,14549,16159,13392,22712,4675,35.36689969894547,24.555846456582557,8.156503506696641,9.059106479119599,7.507862737073435,12.732868763770302,2.6209123578120006,CDU_CSU,35.36689969894547,SPD,24.555846456582557
80,11,Berlin-Charlottenburg-Wilmersdorf,156114,47077,43123,11722,14426,14745,21286,3735,30.155527371023737,27.622762852787062,7.5086154989302685,9.240683090562026,9.4450209462316,13.63490782376981,2.3924824166954917,CDU_CSU,30.155527371023737,SPD,27.622762852787062
81,11,Berlin-Tempelhof-Schöneberg,178666,51708,39380,16188,11362,19356,33763,6909,28.941152765495392,22.04112701913067,9.060481568961078,6.359352087134654,10.833622513516842,18.897272004746284,3.8669920410150787,CDU_CSU,28.941152765495392,SPD,22.04112701913067
82,11,Berlin-Neukölln,141105,34593,37777,15105,7255,23204,15480,7691,24.515786116721593,26.77226179086496,10.704794302115445,5.141561248715496,16.444491690585025,10.970553842882959,5.450551008114524,SPD,26.77226179086496,CDU_CSU,24.515786116721593
83,11,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,171349,20955,29028,10558,5263,42600,45055,17890,12.229426492130097,16.94086338408745,6.161693386013342,3.071509025439308,24.861539898102702,26.294288265469888,10.440679548757215,GRÜNE,26.294288265469888,LINKE,24.861539898102702
84,11,Berlin-Treptow-Köpenick,155192,29384,21379,23245,5831,61881,7755,5717,18.933965668333418,13.775838960771175,14.97822052683128,3.7572813031599566,39.87383370276819,4.997035929687097,3.683823908448889,LINKE,39.87383370276819,CDU_CSU,18.933965668333418
85,11,Berlin-Marzahn-Hellersdorf,136785,30480,17172,28167,4852,46782,4440,4892,22.283145081697555,12.554008114924883,20.59217019410023,3.54717257009175,34.20111854369996,3.2459699528457064,3.5764155426399094,LINKE,34.20111854369996,CDU_CSU,22.283145081697555
86,11,Berlin-Lichtenberg,147072,28905,20720,23119,5018,51249,8609,9452,19.653639033942557,14.088337684943427,15.719511531766752,3.4119342906875545,34.84619778067885,5.853595517841601,6.426784160139251,LINKE,34.84619778067885,CDU_CSU,19.653639033942557
87,5,Aachen I,139357,47011,45309,7817,10232,12282,13104,3602,33.73422217757271,32.51289852680526,5.609334299676371,7.342293533873432,8.813335533916486,9.40318749686058,2.584728431295163,CDU_CSU,33.73422217757271,SPD,32.51289852680526
88,5,Aachen II,171176,62405,63135,15114,11038,8785,7782,2917,36.456629434032806,36.88309108753563,8.829508809646212,6.44833387858111,5.132144693181287,4.54619806514932,1.704094031873627,SPD,36.88309108753563,CDU_CSU,36.456629434032806
